39 39
29
3 3   36 21
3 4   36 17
3 5   0 24
3 6   36 11
3 7   0 0
3 8   0 7
3 9   0 15
3 10   0 29
3 11   36 0
3 15   36 24
4 3   27 36
4 4   3 0
4 5   27 15
4 6   3 33
4 8   3 16
4 9   3 24
4 12   3 4
4 15   22 0
4 16   27 20
5 3   22 36
5 4   26 0
5 5   22 31
5 6   22 15
5 8   31 18
5 10   22 21
5 11   26 4
5 13   31 26
5 18   31 0
15 39   7 0
