36 36
23
3 3   33 0
3 4   0 21
3 5   0 16
3 6   27 16
3 7   0 0
3 8   33 28
3 9   0 7
3 10   33 3
3 11   0 25
3 12   30 0
3 14   27 22
3 15   33 13
3 16   27 0
3 24   30 12
3 36   24 0
4 3   3 0
4 11   3 3
4 22   3 14
5 3   19 0
5 4   19 17
5 14   19 3
5 15   19 21
12 36   7 0
